Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average
165.2957978276927,167.0334311443882,164.54681374618735,165.6153564453125,48116400,0.0,0.0,
165.12603141917054,166.8237256382575,164.69660595141522,166.67391967773438,49537800,0.0,0.0,
166.314409667324,169.07068091357843,165.98487007216977,168.7910614013672,48251800,0.0,0.0,
169.30036860607288,170.37890756324487,167.92223295444407,169.65988159179688,50558300,0.0,0.0,
169.64989490386353,171.10790873595283,168.95083089432222,169.0706787109375,44838400,0.0,0.0,167.9621795654297
173.135155347243,175.79155587925112,172.86553204943687,173.26498413085938,68169400,0.0,0.0,169.49210510253906
173.0952254245227,174.75298060286988,169.76973409860494,170.0992889404297,65934800,0.0,0.0,170.17717895507812
169.35029821950587,172.47606337229135,168.88093363624031,169.0706787109375,50383100,0.0,0.0,170.23310241699218
172.27632387025395,173.18509490154895,170.65852309137927,172.79562377929688,94214900,0.0,0.0,170.8602508544922
186.39716669784414,186.74669869974952,182.41258111434803,183.13160705566406,163224100,0.0,0.0,173.6724365234375
182.1030149635848,183.95050001542788,180.17562120419342,181.46388244628906,78569700,0.0,0.0,175.31221618652344
183.2015043518014,184.6495372034914,181.07439990990315,182.15292358398438,77305800,0.0,0.0,177.7229431152344
182.60232902746063,182.82203224839753,181.20421623621485,182.4924774169922,45057100,0.0,0.0,180.4073028564453
182.31272011600538,184.4098817621062,181.86333268844692,184.32000732421875,48983000,0.0,0.0,182.7121795654297
184.89999389648438,185.08999633789062,182.1300048828125,183.0500030517578,50759500,0.25,0.0,182.69585876464845
185.44000244140625,187.10000610351562,184.6199951171875,186.27999877929688,72044800,0.0,0.0,183.65908203125
187.50999450683594,188.3000030517578,186.2899932861328,187.42999267578125,52393600,0.0,0.0,184.71449584960936
187.91000366210938,190.64999389648438,187.3699951171875,189.72000122070312,70400000,0.0,0.0,186.16000061035157
190.47000122070312,191.10000610351562,189.66000366210938,189.83999633789062,52845200,0.0,0.0,187.26399841308594
189.50999450683594,190.80999755859375,189.17999267578125,189.8699951171875,41282900,0.0,0.0,188.62799682617188
189.3300018310547,191.9199981689453,189.00999450683594,191.0399932861328,44323200,0.0,0.0,189.57999572753906
191.08999633789062,192.58999633789062,190.92010498046875,192.00010681152344,10995563,0.0,0.0,190.4940185546875
